id;title;weekly_consumption;monthly_consumption;station_id
1;JSON;virtual deposit;Squares mint green e-business;1
2;Ghana back-end National;Direct;Profit-focused;2
3;Jewelery cutting-edge;Games;Iraq Bedfordshire;3
4;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;4
5;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;5
6;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent;6
7;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;bypassing optical;7
8;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;8
9;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;9
10;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;10
