id;name;gas_level;benzene_level;last_tank_fill;city;location;map_url;user_id
1;mobile Fish;78;60;2020-01-19T04:32:37;South Carliton;Trace;Savings Account alarm;1
2;Producer;84;94;2020-01-19T13:46:18;East Zacharyville;methodology Albania;Home Namibia;1
3;Gorgeous Frozen Pants;23;46;2020-01-19T16:41:36;Mosciskiville;Cambridgeshire Mississippi;HDD;2
4;Centers;1;95;2020-01-18T20:15:19;MacGyverfort;access Intelligent;Monitored Bahamian Dollar Investment Account;2
5;Salad;39;26;2020-01-19T14:29:39;Nicolasburgh;Costa Rica Mayotte;Industrial;2
6;Views e-enable Communications;73;93;2020-01-19T11:01:52;South Cleveport;Tactics;scale interactive generating;1
7;mission-critical Faroe Islands Plastic;81;16;2020-01-19T17:04:43;Port Henrimouth;orange Books;magenta monitor 1080p;2
8;Identity;65;11;2020-01-18T20:54:33;Stantonstad;archive Fantastic Plastic Chicken;payment;2
9;tangible Mississippi;38;12;2020-01-18T19:32:49;Rosiemouth;Idaho compress Avon;system Small;1
10;red;90;64;2020-01-19T07:27:33;South Johan;Corporate Phased relationships;white Brand Money Market Account;2
